ID,Code,Scientific Name,Common Name
585,DI2,Dichrostachys,dichrostachys spp
586,DI3,Diervilla,bush honeysuckle spp
588,DI6,Diospyros,diospyros spp
589,DI7,Diphysa,diphysa spp
591,DI10,Dirca,leatherwood spp
598,DU1,Dubautia,dubautia spp,broadleaf
599,DU2,Duranta,duranta spp
603,ED1,Edgeworthia,paperbush spp
604,EH1,Ehretia,ehretia spp
605,EL1,Elaeagnus,elaeagnus spp
608,EL4,Eleutherococcus,ginseng spp
609,EL5,Elliottia,elliottia spp
610,EM1,Embelia,embelia spp
612,EM3,Emorya,emorya spp
613,EN1,Encelia,brittlebush spp
614,EN3,Entada,callingcard vine spp
615,EN4,Enterolobium,enterolobium spp
618,ER5,Ericameria,ericameria spp
623,ER15,Erythrina,erythrina spp,broadleaf
624,ER16,Erythroxylum,coca spp
626,ES3,Esenbeckia,jopoy spp
627,EU2,Eubrachion,tapeworm-plant spp
629,EU5,Eucommia,eucommia spp
631,EUSP,Euonymus,spindletree spp
632,EU8,Euphorbia,spurge spp
636,EX2,Exochorda,pearlbrush spp
639,EY1,Eysenhardtia,kidneywood spp
640,FA,Fagus,beech spp
641,FA2,Falcataria,peacocksplume spp
642,FA3,Fallugia,Apache plume spp
645,FE1,Fendlera,fendlerbush spp
646,FE2,Fendlerella,Utah fendlerbush spp
649,FI3,Firmiana,parasoltree spp
650,FI4,Fitchia,fitchia spp
651,FL1,Flacourtia,flacourtia spp
652,FL5,Flindersia,flindersia spp
653,FL6,Flourensia,tarwort spp
654,FL7,Flueggea,bushweed spp
655,FO1,Fontanesia,fontanesia spp
656,FO2,Forchhammeria,forchhammeria spp
657,FO3,Forestiera,swampprivet spp
658,FORS,Forsythia,forsythia spp
660,FO5,Fothergilla,witchalder spp
661,FO6,Fouquieria,ocotillo spp
662,FR1,Frangula,buckthorn spp
663,FR3,Franklinia,Franklin tree spp
664,FR,Fraxinus,ash spp
666,FU1,Fuchsia,fuchsia spp
672,GA2,Gardenia,gardenia spp
675,GA1,Gaylussacia,huckleberry spp
677,GE3,Genipa,genipa spp
678,GE4,Genista,Genista spp
679,GE5,Genistidium,brushpea spp
682,GI2,Ginkgo,ginkgo spp,broadleaf
683,GI3,Ginoria,ginoria spp
684,GL3,Gleditsia,locust spp
685,GL4,Gliricidia,quickstick spp
686,GL5,Glossopetalon,greasebush spp
687,GL6,Glycosmis,glycosmis spp
688,GM1,Gmelina,gmelina spp
689,GO1,Gochnatia,gochnatia spp
693,GO6,Gonzalagunia,gonzalagunia spp
696,GO9,Gouania,chewstick spp
697,GR1,Graffenrieda,graffenrieda spp
702,GU2,Guapira,guapira spp
706,GU6,Guettarda,guettarda spp
710,GY3,Gymnocladus,coffeetree spp
711,HA1,Haematoxylum,haematoxylum spp
713,HA,Halesia,silverbell spp
714,HA3,Halimodendron,halimodendron spp
715,HA6,Hamamelis,witchhazel spp
720,HA14,Hazardia,bristleweed spp
728,HE12,Heliocarpus,heliocarpus spp
729,HE15,Hemizonia,rosinweed spp
732,HE20,Hesperomannia,island-aster spp
734,HE23,Heteropterys,withe spp
736,HI1,Hibiscadelphus,hibiscadelphus spp
740,HI4,Hippophae,seabuckthorn spp
743,HO4,Holodiscus,oceanspray spp
745,HO9,Hovenia,hovenia spp
746,HU4,Hura,sandbox tree spp
747,HYSP,Hydrangea,hydrangea spp
751,HY4,Hymenoclea,burrobrush spp
754,HY8,Hypericum,St. Johnswort spp,broadleaf
755,HY9,Hyptis,bushmint spp
758,IN1,Indigofera,indigo spp
762,IT1,Itea,sweetspire spp
763,IV1,Iva,marshelder spp
765,JA1,Jacaranda,jacaranda spp
767,JA5,Jamesia,cliffbush spp
768,JA6,Jasminum,jasmine spp
769,JA7,Jatropha,nettlespurge spp
770,JU1,Juglans,walnut spp
775,KA2,Kalopanax,castor aralia spp
776,KA3,Kanaloa,kanaloa spp
778,KE1,Keckiella,keckiella spp
779,KE3,Kerria,kerria spp
780,KH1,Khaya,African mahogany spp
781,KI1,Kigelia,sausage tree spp
783,KO3,Koeberlinia,allthorn spp
784,KO4,Koelreuteria,koelreuteria spp
785,KO5,Kokia,treecotton spp
786,KO6,Kolkwitzia,kolkwitzia spp
787,KR1,Krameria,ratany spp
789,LA1,Labordia,labordia spp
790,LA2,Laburnum,golden chain tree spp
792,LA4,Lagascea,lagascea spp
793,LA6,Lagerstroemia,lagerstroemia spp
797,LA10,Larix,larch spp
799,LA13,Lasianthus,lasianthus spp
805,LE5,Leitneria,corkwood spp
806,LE6,Leonotis,lion's ear spp
807,LE10,Lepidospartum,broomsage spp
809,LE13,Leptopus,maidenbush spp
811,LE16,Lespedeza,lespedeza spp
814,LE21,Leucothoe,doghobble spp
815,LE22,Leycesteria,leycesteria spp
816,LI1,Licania,licania spp
818,LISP,Ligustrum,privet spp
820,LI5,Lindera,spicebush spp
821,LI8,Lippia,lippia spp
822,LI9,Liquidambar,sweetgum spp
823,LI10,Liriodendron,tuliptree spp
826,LI15,Lithraea,Lithraea spp
828,LI17,Litsea,litsea spp
831,LO4,Lonchocarpus,lancepod spp
832,LOSP,Lonicera,honeysuckle spp,broadleaf
834,LU2,Luehea,luehea spp
835,LU5,Lunania,lunania spp
836,LY1,Lycianthes,lycianthes spp
837,LY2,Lycium,desert-thorn spp,broadleaf
839,LY6,Lyonia,staggerbush spp
846,MA7,Machaonia,machaonia spp
847,MA8,Maclura,maclura spp
848,MA10,Maesopsis,umbrella-tree spp
849,MA1,Magnolia,magnolia spp
851,MA13,Malacomeles,false serviceberry spp
856,MA2,Malus,apple spp
861,MA27,Manihot,manihot spp
864,MA31,Margaritaria,margaritaria spp
868,MA36,Matelea,milkvine spp
870,ME2,Mecranium,mecranium spp
874,ME8,Melia,melia spp
877,ME11,Meliosma,meliosma spp
878,ME13,Melochia,melochia spp
879,ME14,Menodora,menodora spp
880,ME16,Menziesia,menziesia spp
881,ME17,Mespilus,mespilus spp
882,ME18,Metasequoia,dawn redwood spp
888,MI4,Mimosa,sensitive plant spp,broadleaf
892,MO6,Morella,bayberry spp
894,MO8,Moringa,moringa spp
897,MO,Morus,mulberry spp
899,MU1,Muehlenbeckia,maidenhair vine spp
900,MU2,Munroidendron,munroidendron spp
907,MY4,Myrciaria,guavaberry spp
908,MY5,Myrica,sweetgale spp
910,MY7,Myrospermum,myrospermum spp
916,NE3,Nemopanthus,nemopanthus spp
917,NE4,Neolamarckia,neolamarckia spp
919,NE9,Neraudia,ma'oloa spp
922,NE14,Nestegis,nestegis spp
923,NE15,Nestronia,nestronia spp
924,NE17,Neviusia,snow-wreath spp
928,NO2,Nothocestrum,aiea spp
929,NO4,Nothofagus,nothofagus spp
930,NO5,Nototrichium,rockwort spp
932,NY2,Nyssa,tupelo spp
933,OC1,Ochna,ochna spp
938,OE1,Oemleria,oemleria spp
940,OL3,Olneya,olneya spp
942,OP1,Oplonia,oplonia spp
943,OP2,Oplopanax,oplopanax spp
949,OS4,Ostrya,hophornbean spp
950,OT1,Ottoschulzia,ottoschulzia spp
953,OX3,Oxydendrum,swamp cranberry spp
954,PA1,Pachira,pachira spp
956,PA5,Paederia,sewer vine spp
958,PA8,Paliurus,Jeruselem thorn spp
962,PA13,Parkinsonia,paloverde spp
964,PA16,Parryella,parryella spp
966,PA18,Parthenocissus,creeper spp
967,PA19,Paulownia,paulownia spp
969,PE3,Pedilanthus,pedilanthus spp
970,PE6,Peltophorum,peltophorum spp
971,PE11,Pentzia,pentzia spp
973,PE13,Peraphyllum,peraphyllum spp
974,PE14,Pereskia,pereskia spp
975,PE17,Perrottetia,perrottetia spp
976,PE18,Persea,bay spp
980,PH2,Phaulothamnus,phaulothamnus spp
981,PH3,Phellodendron,corktree spp
983,PHSP,Philadelphus,mock orange spp,broadleaf
986,PHSP2,Photinia,chokeberry spp
987,PH11,Phyllanthus,leafflower spp
989,PH16,Physocarpus,ninebark spp
994,PI6,Picrasma,picrasma spp
995,PI8,Pictetia,pictetia spp
1001,PI13,Pinckneya,pinckneya spp
1007,PI19,Piscidia,piscidia spp
1009,PI21,Pistacia,pistache spp
1010,PI22,Pithecellobium,blackbead spp
1012,PL1,Planera,planertree spp
1013,PL3,Platanus,sycamore spp
1020,PL13,Plumeria,plumeria spp
1022,PO4,Poitea,wattapama spp
1023,PO7,Polygala,polygala spp
1026,PO11,Poncirus,poncirus spp
1028,PO,Populus,cottonwood spp
1029,PO2,Potentilla,cinquefoil spp
1031,PO16,Pouzolzia,pouzolzia spp
1032,PR1,Premna,premna spp
1036,PR6,Prosopis,mesquite spp
1037,PR7,Proustia,proustia spp
1038,PR,Prunus,plum spp
1039,PS3,Pseudanamomis,pseudanamomis spp
1041,PS6,Pseudocydonia,chinese-quince spp
1042,PS8,Pseudolarix,golden larch spp
1048,PS16,Psorothamnus,dalea spp
1050,PT1,Ptelea,hoptree spp
1051,PT2,Pteralyxia,pteralyxia spp
1052,PT3,Pterocarpus,pterocarpus spp
1053,PT4,Pterocarya,pterocarya spp
1056,PU,Punica,pomegranate spp
1057,PU2,Purshia,cliff rose spp
1059,PY3,Pyrularia,pyrularia spp
1060,PY,Pyrus,pear spp
1063,QU,Quercus,oak spp
1065,RA1,Randia,indigoberry spp
1067,RA3,Rauvolfia,devil's-pepper spp
1070,RE1,Remya,remya spp
1071,RE2,Reynoldsia,reynoldsia spp
1073,RHSP2,Rhamnus,Rhamnus spp
1078,RH5,Rhodotypos,rhodotypos spp
1079,RHSP,Rhus,sumac spp
1080,RH7,Rhytidophyllum,tibey-amarillo spp
1081,RISP,Ribes,currant spp,broadleaf
1083,ROSP2,Robinia,Robinia spp
1084,RO1,Rochefortia,rochefortia spp
1088,RO,Rosa,rose spp,broadleaf
1090,RO8,Rourea,rourea spp
1092,RU,Rubus,blackberry spp,broadleaf
1094,SA4,Sabicea,woodvine spp
1096,SA6,Sageretia,mock buckthorn spp
1097,SA7,Sagraea,hogwood spp
1098,SA9,Salazaria,bladdersage spp
1099,SA,Salix,willow spp
1100,SA10,Salmea,bejuco de miel spp
1103,SA2,Sambucus,elderberry spp
1104,SA14,Samyda,samyda spp
1107,SA18,Sapindus,soapberry spp
1108,SA19,Sapium,milktree spp
1109,SA20,Sarcobatus,greasewood spp
1110,SA23,Sassafras,sassafras spp
1111,SA26,Savia,savia spp
1115,SC4,Schiedea,schiedea spp
1117,SC6,Schisandra,schisandra spp
1118,SC7,Schizolobium,Brazilian firetree spp
1119,SC9,Schlegelia,Schlegelia spp
1121,SC12,Schradera,schradera spp
1122,SC14,Scolosanthus,scolosanthus spp
1124,SE2,Securidaca,securidaca spp
1126,SE7,Senna,senna spp,broadleaf
1130,SE10,Serianthes,Serianthes spp
1132,SE13,Sesbania,riverhemp spp
1133,SE14,Severinia,severinia spp
1134,SH1,Shepherdia,buffaloberry spp
1136,SI6,Sideroxylon,bully spp
1142,SO3,Sophora,necklacepod spp
1143,SO4,Sorbaria,false spiraea spp
1144,SO,Sorbus,mountain ash spp
1147,SPSP,Spiraea,spirea spp,broadleaf
1148,SP7,Spondias,mombin spp
1151,ST5,Staphylea,bladdernut spp
1152,ST6,Stegnosperma,stegnosperma spp
1154,ST8,Stenogyne,stenogyne spp
1155,ST11,Stephanandra,stephanandra spp
1156,ST13,Sterculia,sterculia spp
1157,ST15,Stewartia,stewartia spp
1163,ST22,Stylogyne,stylogyne spp
1165,ST25,Styrax,snowbell spp
1167,SW1,Swietenia,mahogany spp
1169,SY2,Symphoricarpos,snowberry spp
1170,SY4,Symphysia,symphysia spp
1171,SY5,Symplocos,sweetleaf spp
1173,SYSP,Syringa,lilac spp
1175,TASP,Tabebuia,trumpet-tree spp,broadleaf
1178,TA2,Tamarix,tamarisk spp
1179,TA9,Tamonea,tamonea spp
1182,TE1,Tecoma,trumpetbush spp
1183,TE2,Tectona,tectona spp
1185,TE4,Terminalia,troipical almond spp
1187,TE8,Tetracoccus,shrubby-spurge spp
1189,TE12,Tetramolopium,tetramolopium spp
1192,TE16,Tetrapterys,tetrapterys spp
1202,TI1,Tibouchina,glorytree spp
1203,TI,Tilia,basswood spp
1204,TO2,Toona,redcedar spp
1207,TO5,Touchardia,touchardia spp
1209,TO7,Toxicodendron,poison oak spp
1212,TR5,Trematolobelia,false lobelia spp
1213,TR7,Triadica,tallowtree spp
1214,TR8,Trichilia,trichilia spp
1216,TR12,Triumfetta,triumfetta spp
1217,TR13,Trixis,threefold spp
1220,TU3,Turpinia,turpinia spp
1222,ULS,Ulmus,elm spp
1224,UN1,Ungnadia,ungnadia spp
1227,VA1,Vaccinium,blueberry spp,broadleaf
1229,VA3,Vallesia,vallesia spp
1230,VA4,Vanclevea,vanclevea spp
1231,VA5,Vangueria,vangueria spp
1233,VE4,Vernicia,vernicia spp
1234,VISP2,Viburnum,viburnum spp,broadleaf
1235,VI5,Vitex,chastetree spp
1236,VISP1,Vitis,grape spp
1237,WA1,Wallenia,jacanillo spp
1238,WA3,Waltheria,waltheria spp
1241,WE,Weigela,weigela spp
1245,WI3,Wilkesia,iliau spp
1246,XI1,Ximenia,ximenia spp
1248,XY3,Xylosma,xylosma spp
1250,ZA2,Zanthoxylum,pricklyash spp,broadleaf
1251,ZE,Zelkova,zelkova spp
1252,ZE2,Zenobia,honeycup spp
1253,ZI1,Ziziphus,jujube spp
1254,BR15,Brassaia,brassaia spp
1255,BU8,Bumelia,bumelia spp
1256,CA56,Castanopsis,castanopsis spp
1257,CE22,Cercidium,cercidium spp
1259,CO43,Cowania,bitterbrush spp
1260,DI12,Dipholis,willow bustic spp
1261,LU7,Luma,luma spp
1262,PO17,Pongamia,pongame spp
1266,PA3,Patagonula,patagonula spp
1268,PA,Parrotia,ironwood spp
1269,AF,Afrormosia,afromosia spp
1283,CA57,Calodendrum,calodendrum spp
1285,EU99,Eucryphia,eucryphia spp
1296,DO,Dombeya,dombeya spp
1297,MY,Myrocarpus,myrocarpus spp
1298,PA4,Parapiptadenia,parapiptadenia spp
1301,CH31,Chitalpa,chitalpa spp
1302,CO40,Cocculus,cocculus spp
1309,WI,Wisteria,wisteria spp
1331,DA7,Davidia,davidia spp
1347,TO,Toxicocendron,toxicocendron spp
1362,MA,Maackia,maackia spp
1368,PS1,Pseudobombax,pseudobombax spp
1386,BO3,Bombax,bombax spp
1390,CA31,Canarium,canarium spp
1397,CO32,Corylopsis,corylopsis spp
1405,DI1,Dipteronia,dipteronia spp
1420,HO6,Hoheria,hoheria spp
1435,MI5,Millettia,millettia spp
1452,PT,Pterostyrax,pterostyrax spp
1469,TE7,Tetradium,tetradium spp
1470,ST1,Strobilanthes,strobilanthes spp
1475,SM,Smilax,smilax
1506,AR23,Arthrocarpum,arthrocarpum spp
1577,AC6,Actinidia,actinidia spp
1583,ABCH,Abelia chinensis,Abelia
1584,ABGR4,Abelia x grandiflora,Glossy abelia
1600,ABBE,Abutilon berlandieri,Berlandier indian mallow
1601,ABER,Abutilon eremitopetalum,Hiddenpetal indian mallow
1602,ABGR3,Abutilon grandifolium,Hairy indian mallow
1603,ABME2,Abutilon menziesii,Ko'oloa 'ula
1604,ABPA,Abutilon palmeri,Palmer's indian mallow
1605,ABSA2,Abutilon sandwicense,Greenflower indian mallow
1606,ABVI2,Abutilon virginianum,Van dyke's indian mallow
1607,ACAN4,Acacia anegadensis,Blackbrush wattle
1611,ACBE,Acacia berlandieri,Guajillo
1612,ACCA2,Acacia caven,Roman cassie
1613,ACCH,Acacia choriophylla,Cinnecord
1614,ACCO,Acacia confusa,Small philippine acacia
1615,ACCO2,Acacia constricta,Whitethorn acacia
1616,ACCO5,Acacia cornigera,Bullhorn wattle
1620,ACEL,Acacia elata,Cedar wattle
1621,ACFA,Acacia farnesiana,Sweet acacia
1622,ACGR2,Acacia greggii,Catclaw acacia
1623,ACKO,Acacia koa,Koa
1626,ACMA2,Acacia macracantha,Porknut
1629,ACME2,Acacia mellifera,Black thorn acacia
1630,ACMI,Acacia millefolia,Milfoil wattle
1631,ACMU,Acacia muricata,Spineless wattle
1632,ACNE4,Acacia neovernicosa,Viscid acacia
1633,ACNI2,Acacia nilotica,Gum arabic tree
1635,ACPA81,Acacia parramattensis,South wales wattle
1636,ACPI,Acacia pinetorum,Pineland wattle
1638,ACPO3,Acacia polyacantha,Catechu tree
1640,ACRE,Acacia reficiens,Acacia reficiens
1641,ACRE9,Acacia redolens,Bank catclaw
1643,ACRE4,Acacia retusa,Catch and keep
1644,ACRI,Acacia rigidula,Blackbrush acacia
1645,ACRO,Acacia roemeriana,Roundflower catclaw
1647,ACSC2,Acacia schaffneri,Schaffner's wattle
1648,ACSC,Acacia schottii,Schott's wattle
1649,ACSE,Acacia semperflorens,Aromo en flor
1650,ACSP4,Acacia sphaerocephala,Bee wattle
1651,ACTO,Acacia tortuosa,Twisted acacia
1653,ACVI,Acacia visco,Acacia visco
1654,ACVO,Acacia vogeliana,Macata bourse bastard
1660,ACBA,Acer barbatum,Florida maple
1661,ACBU,Acer buergerianum,Trident maple
1662,ACCA,Acer campestre,Hedge maple
1663,ACCI,Acer circinatum,Vine maple
1664,ACGI,Acer ginnala,Amur maple
1665,ACGL,Acer glabrum,Rocky mountain maple
1666,ACGR3,Acer grandidentatum,Bigtooth maple
1667,ACGR,Acer griseum,Paperbark maple
1668,ACJA2,Acer japonicum,Fullmoon maple
1669,ACLE,Acer leucoderme,Chalk maple
1670,ACMA,Acer macrophyllum,Bigleaf maple
1671,ACMO,Acer mono,Painted maple
1672,ACNE,Acer negundo,Boxelder
1673,ACNI,Acer nigrum,Black maple
1674,ACPA,Acer palmatum,Japanese maple
1675,ACPE,Acer pensylvanicum,Striped maple
1676,ACPL,Acer platanoides,Norway maple
1677,ACPS,Acer pseudoplatanus,Sycamore maple
1678,ACRU,Acer rubrum,Red maple
1679,ACSA1,Acer saccharinum,Silver maple
1680,ACSA2,Acer saccharum,Sugar maple
1681,ACSP,Acer spicatum,Mountain maple
1682,ACTA,Acer tataricum,Tatar maple
1683,ACFR,Acer x freemanii,Freeman maple
1691,ADDI3,Adansonia digitata,Baobab
1692,ADRI,Adelia ricinella,Wild lime
1693,ADVA,Adelia vaseyi,Vasey's wild lime
1694,ADPA,Adenanthera pavonina,Red beadtree
1697,ADCA2,Adolphia californica,California prickbush
1698,ADIN,Adolphia infesta,Junco
1704,AEWO,Aesculus x woerlitzensis,Aesculus x woerlitzensis
1705,AEBU,Aesculus x bushii,Bush's chesnut
1706,AECA2,Aesculus californica,California buckeye
1707,AECH,Aesculus chinensis,Aesculus chinensis
1708,AEFL,Aesculus flava,Yellow buckeye
1709,AEGL,Aesculus glabra,Ohio buckeye
1710,AEHI,Aesculus hippocastanum,Horse chestnut
1711,AEHY,Aesculus x hybrida,Hybrid chesnut
1712,AEMA2,Aesculus x marylandica,Maryland chesnut
1713,AEMU,Aesculus x mutabilis,Chesnut
1714,AENE,Aesculus x neglecta,Dwarf buckeye
1715,AEPA2,Aesculus parviflora,Bottlebrush buckeye
1716,AEPA,Aesculus pavia,Red buckeye
1717,AESY,Aesculus sylvatica,Painted buckeye
1718,AECA,Aesculus x carnea,Red horsechestnut
1722,AIAL,Ailanthus altissima,Tree of heaven
1724,ALAD,Albizia adinocephala,Cream albizia
1725,ALCA8,Albizia carbonaria,Naked albizia
1726,ALCH2,Albizia chinensis,Chinese albizia
1727,ALJU,Albizia julibrissin,Persian silk tree
1728,ALLE,Albizia lebbeck,Acacia amarilla
1729,ALLE2,Albizia lebbekoides,Indian albizia
1730,ALLO,Albizia lophantha,Cape Wattle
1731,ALPR,Albizia procera,Tall Albizia
1732,ALSA10,Albizia saponaria,Whiteflower albizia
1734,ALFL3,Alchorneopsis floribunda,Palo de gallina
1735,ALMA2,Alectryon macrococcum,Hawai'i alectryon
1736,ALFO,Aleurites fordii,Tung oil tree
1739,ALMA12,Alhagi maurorum,Camelthorn
1742,ALRA,Allophylus racemosus,Palo de caja
1743,ALFA4,Alnus x fallacina,Alder
1744,ALGL,Alnus glutinosa,European alder
1745,ALIN,Alnus incana,Grey alder
1746,ALMA,Alnus maritima,Seaside alder
1747,ALNE2,Alnus nepalensis,Nepal alder
1748,ALOB,Alnus oblongifolia,Arizona alder
1749,ALRH,Alnus rhombifolia,White alder
1750,ALRU2,Alnus rubra,Red alder
1751,ALSE,Alnus serrulata,Hazel alder
1752,ALTE,Alnus tenuifolia,Mountain alder
1753,ALVI5,Alnus viridis,Green alder
1754,ALGR2,Aloysia gratissima,Whitebrush
1755,ALMA9,Aloysia macrostachya,Rio grande beebrush
1756,ALTR6,Aloysia triphylla,Lemon beebrush
1757,ALWR,Aloysia wrightii,Wright's beebrush
1764,AMAR,Amelanchier arborea,Downy serviceberry
1765,AMBA,Amelanchier bartramiana,Oblongfruit serviceberry
1766,AMCA,Amelanchier canadensis,Eastern service berry
1767,AMHU2,Amelanchier humilis,Low serviceberry
1768,AMIN2,Amelanchier interior,Pacific serviceberry
1769,AMIN4,Amelanchier x intermedia,Intermediate serviceberry
1770,AMLA,Amelanchier laevis,Smooth service berry
1771,AMNA2,Amelanchier nantucketense,Nantucket serviceberry
1772,AMNE,Amelanchier x neglecta,Neglected serviceberry
1773,AMOB2,Amelanchier obovalis,Coastal serviceberry
1774,AMPA,Amelanchier pallida,Pale serviceberry
1775,AMPU5,Amelanchier pumila,Dwarf serviceberry
1776,AMQU,Amelanchier x quinti-martii,Guint mart's serviceberry
1777,AMSA,Amelanchier sanguinea,Roundleaf serviceberry
1778,AMUT,Amelanchier utahensis,Utah serviceberry
1779,AMJA,Amelasorbus jackii,Jack's amelasorbus
1780,AMCA5,Amorpha californica,California false indigo
1781,AMFR,Amorpha fruticosa,Desert false indigo
1782,AMGE,Amorpha georgiana,Georgia false indigo
1783,AMGL2,Amorpha glabra,Mountain false indigo
1784,AMHE,Amorpha herbacea,Clusterspike false indigo
1785,AMLA3,Amorpha laevigata,Smooth false indigo
1786,AMNI,Amorpha nitens,Shining false indigo
1787,AMNO,Amorpha x notha,Notha indigobush
1788,AMOU,Amorpha ouachitensis,Ouachita false indigo
1789,AMPA4,Amorpha paniculata,Panicled false indigo
1790,AMRO2,Amorpha roemeriana,Roemer's false indigo
1791,AMSC2,Amorpha schwerinii,Schwerin's false indigo
1792,AMAR5,Ampelopsis arborea,Peppervine
1793,AMFR2,Amphipappus fremontii,Fremont's chaffbush
1800,ANOC,Anacardium occidentale,Cashew
1801,ANPE13,Anadenanthera peregrina,Cohoba tree
1804,ANLI3,Anisacanthus linearis,Narrowleaf honeysuckle
1805,ANPU6,Anisacanthus puberulus,Dwarf desert honeysuckle
